date,temperature_c,precip_mm,humidity_pct,barometric_pressure_hpa,station_status
2025-02-08,32.39,0.0,54.8,1015.16,active
2025-02-09,31.1,2.26,63.6,1018.94,active
2025-02-10,25.54,1.57,42.6,1011.85,active
2025-02-11,25.75,0.32,46.4,1012.86,active
2025-02-12,27.49,0.0,50.9,1016.1,active
2025-02-13,27.61,3.1,56.0,1018.65,active
2025-02-14,27.82,4.08,57.9,1015.94,active
2025-02-15,26.54,0.0,65.1,1012.78,active
2025-02-16,28.5,0.0,52.1,1016.5,active
2025-02-17,25.33,49.45,97.3,995.39,active
2025-02-18,27.91,1.18,54.6,1019.22,active
2025-02-19,26.73,1.45,56.6,1013.84,active
2025-02-20,28.12,2.19,52.5,1013.34,active
2025-02-21,29.53,0.0,60.5,1015.16,active
2025-02-22,24.72,2.24,68.0,1019.63,active
2025-02-23,29.5,2.41,62.3,1016.53,active
2025-02-24,26.69,0.19,63.9,1013.68,active
2025-02-25,26.84,0.49,54.8,1011.57,active
2025-02-26,28.81,0.0,59.4,1017.84,active
2025-02-27,25.58,0.0,50.2,1016.58,active
2025-02-28,24.58,0.57,63.3,1015.09,active
2025-03-01,27.01,0.0,50.6,1013.14,active
2025-03-02,27.27,0.25,62.9,1013.03,active
2025-03-03,28.81,0.74,55.9,1015.85,active
2025-03-04,24.53,0.0,57.1,1014.2,active
2025-03-05,26.21,0.13,54.7,1015.15,active
2025-03-06,26.8,0.0,51.7,1018.36,active
2025-03-07,26.29,0.0,44.7,1008.96,active
2025-03-08,29.01,1.36,51.3,1010.43,active
2025-03-09,26.48,0.07,55.2,1018.96,active
2025-03-10,24.82,0.0,53.7,1014.9,active
2025-03-11,27.37,0.26,56.4,1019.21,active
2025-03-12,27.51,0.32,58.0,1016.08,active
2025-03-13,27.53,0.91,63.0,1011.87,active
2025-03-14,27.38,3.31,57.2,1014.43,active
2025-03-15,24.7,0.0,53.4,1015.57,active
2025-03-16,25.63,0.0,48.6,1017.81,active
2025-03-17,27.3,0.0,64.9,1016.07,active
2025-03-18,25.66,0.0,55.5,1013.42,active
2025-03-19,27.78,11.41,61.8,1013.1,active
2025-03-20,20.91,0.0,47.6,1015.85,active
2025-03-21,24.16,0.0,50.5,1014.62,active
2025-03-22,25.89,1.46,51.7,1018.44,active
2025-03-23,27.22,0.0,61.8,1014.81,active
2025-03-24,27.33,0.5,60.2,1016.0,active
2025-03-25,23.33,1.49,49.8,1015.87,active
2025-03-26,24.32,1.2,67.2,1018.4,active
2025-03-27,25.12,1.23,53.9,1008.53,active
2025-03-28,26.01,0.08,46.9,1015.14,active
2025-03-29,24.48,1.8,46.7,1015.54,active
2025-03-30,27.67,0.0,57.4,1016.16,active
2025-03-31,24.26,0.91,72.5,1015.43,active
2025-04-01,24.99,3.68,49.2,1012.48,active
2025-04-02,24.09,0.0,52.9,1013.31,active
2025-04-03,23.69,0.0,56.4,1013.39,active
2025-04-04,26.72,0.0,56.2,1016.62,active
2025-04-05,25.09,0.0,50.5,1014.26,active
2025-04-06,21.73,0.0,56.7,1016.87,active
2025-04-07,26.39,0.6,56.1,1018.77,active
2025-04-08,26.58,3.98,50.0,1014.75,active
2025-04-09,27.51,0.0,60.3,1014.68,active
2025-04-10,25.02,0.37,58.7,1015.19,active
2025-04-11,23.02,0.0,47.3,1012.68,active
2025-04-12,25.03,1.02,54.6,1008.99,active
2025-04-13,25.0,0.0,65.0,1015.51,active
2025-04-14,24.56,0.48,56.6,1019.08,active
2025-04-15,22.7,1.24,58.8,1017.27,active
2025-04-16,23.89,13.56,64.4,1010.37,active
2025-04-17,23.64,0.38,66.1,1017.88,active
2025-04-18,25.58,4.06,54.6,1014.2,active
2025-04-19,23.26,0.0,57.6,1019.88,active
2025-04-20,23.63,0.78,66.9,1016.1,active
2025-04-21,22.56,0.0,42.3,1013.3,active
2025-04-22,23.01,0.0,48.4,1010.92,active
2025-04-23,23.65,0.37,49.8,1014.3,active
2025-04-24,24.91,0.0,65.2,1015.07,active
2025-04-25,23.21,0.0,57.3,1012.28,active
2025-04-26,22.38,2.7,46.6,1015.88,active
2025-04-27,25.38,0.0,53.4,1012.36,active
2025-04-28,23.22,0.05,59.1,1012.69,active
2025-04-29,22.68,0.0,54.7,1011.03,active
2025-04-30,25.39,0.0,40.9,1018.34,active
2025-05-01,23.94,0.0,49.8,1018.2,active
2025-05-02,23.45,0.29,46.9,1014.18,active
2025-05-03,23.06,1.6,60.0,1015.22,active
2025-05-04,25.4,3.65,59.8,1011.99,active
2025-05-05,24.73,0.14,37.3,1011.96,active
2025-05-06,23.19,2.63,48.9,1014.02,active
2025-05-07,21.67,0.0,60.5,1017.41,active
2025-05-08,22.88,5.1,66.4,1009.75,active
2025-05-09,22.25,14.56,73.9,1014.99,active
2025-05-10,22.94,0.0,60.3,1013.3,active
2025-05-11,23.21,1.43,54.6,1013.84,active
2025-05-12,23.32,1.05,57.0,1015.84,active
2025-05-13,22.13,0.03,51.5,1015.18,active
2025-05-14,22.88,0.0,49.7,1017.99,active
2025-05-15,21.85,1.48,58.3,1012.6,active
2025-05-16,23.51,0.58,61.2,1015.01,active
2025-05-17,22.01,0.7,50.7,1014.96,active
2025-05-18,22.09,0.07,52.2,1019.54,active
2025-05-19,21.38,47.07,91.2,998.47,active
2025-05-20,20.41,6.39,56.1,1015.72,active
2025-05-21,22.22,0.0,52.0,1015.81,active
2025-05-22,22.79,5.05,69.3,1011.29,active
2025-05-23,22.77,7.17,52.1,1012.43,active
2025-05-24,22.59,8.4,78.2,1011.89,active
2025-05-25,20.61,0.0,64.2,1013.58,active
2025-05-26,20.56,3.99,61.7,1013.03,active
2025-05-27,23.07,0.0,41.3,1019.11,active
2025-05-28,24.07,0.13,57.9,1014.39,active
2025-05-29,20.82,3.23,46.8,1014.1,active
2025-05-30,21.01,0.0,40.6,1018.51,active
2025-05-31,20.75,24.4,75.1,1006.23,active
2025-06-01,22.51,0.0,49.1,1012.61,active
2025-06-02,21.72,0.0,49.9,1019.05,active
2025-06-03,22.3,0.0,55.4,1015.1,active
2025-06-04,21.77,0.0,57.9,1014.89,active
2025-06-05,21.09,1.28,53.8,1016.15,active
2025-06-06,21.18,1.64,47.4,1015.19,active
2025-06-07,19.77,0.32,67.0,1016.17,active
2025-06-08,19.81,0.07,54.0,1013.93,active
2025-06-09,19.78,0.43,53.7,1018.46,active
2025-06-10,19.23,0.28,75.3,1014.08,active
2025-06-11,20.59,5.1,59.4,1009.63,active
2025-06-12,20.04,0.0,56.5,1014.14,active
2025-06-13,21.07,0.87,64.6,1019.53,active
2025-06-14,21.0,2.83,54.0,1011.55,active
2025-06-15,19.88,0.0,49.1,1011.5,active
2025-06-16,20.04,0.54,37.2,1013.41,active
2025-06-17,20.16,0.0,58.8,1013.13,active
2025-06-18,18.54,3.61,51.5,1013.58,active
2025-06-19,20.2,1.56,60.6,1018.17,active
2025-06-20,20.28,3.81,57.9,1012.85,active
2025-06-21,20.68,0.0,51.4,1017.16,active
2025-06-22,20.49,0.0,46.1,1014.21,active
2025-06-23,19.31,0.09,53.4,1019.19,active
2025-06-24,19.21,1.16,58.1,1014.33,active
2025-06-25,19.72,0.39,53.7,1016.6,active
2025-06-26,19.94,0.0,61.2,1014.25,active
2025-06-27,18.56,3.82,47.4,1012.13,active
2025-06-28,20.03,0.0,56.0,1011.62,active
2025-06-29,18.25,0.0,48.1,1014.64,active
2025-06-30,19.15,0.0,60.3,1017.31,active
2025-07-01,20.6,0.0,60.4,1010.96,active
2025-07-02,20.08,1.46,59.6,1013.79,active
2025-07-03,18.91,0.1,55.5,1012.29,active
2025-07-04,17.91,4.31,53.7,1012.71,active
2025-07-05,18.92,0.0,54.6,1015.89,active
2025-07-06,18.86,4.35,64.7,1010.95,active
2025-07-07,19.23,0.0,51.4,1013.27,active
2025-07-08,19.48,0.0,57.0,1013.54,active
2025-07-09,19.15,0.0,50.9,1014.85,active
2025-07-10,18.86,0.0,62.0,1015.92,active
2025-07-11,17.37,0.0,46.6,1010.44,active
2025-07-12,18.2,0.0,63.0,1018.8,active
2025-07-13,18.56,12.02,59.7,1013.69,active
2025-07-14,19.56,7.78,50.1,1011.54,active
2025-07-15,17.47,0.0,52.1,1016.17,active
2025-07-16,20.07,0.0,52.4,1019.37,active
2025-07-17,19.78,0.0,59.6,1016.87,active
2025-07-18,19.65,1.24,45.3,1012.33,active
2025-07-19,19.06,0.0,52.5,1019.11,active
2025-07-20,22.25,2.16,55.0,1015.78,active
2025-07-21,21.87,4.17,56.1,1016.35,active
2025-07-22,24.63,1.16,53.0,1014.98,active
2025-07-23,23.8,0.29,62.9,1011.18,active
2025-07-24,21.79,0.0,49.4,1015.67,active
2025-07-25,22.63,50.07,83.9,1000.63,active
2025-07-26,21.89,1.12,47.1,1013.78,active
2025-07-27,22.81,0.0,54.3,1015.32,active
2025-07-28,20.17,0.61,68.6,1013.73,active
2025-07-29,19.81,0.0,44.1,1017.24,active
2025-07-30,21.56,0.39,65.0,1013.21,active
2025-07-31,19.14,0.0,55.4,1017.65,active
2025-08-01,21.69,0.0,64.7,1007.73,active
2025-08-02,18.41,0.0,42.0,1009.72,active
2025-08-03,20.36,0.0,56.3,1012.14,active
2025-08-04,16.45,0.0,42.7,1013.62,active
2025-08-05,17.88,1.91,48.5,1014.76,active
2025-08-06,16.93,0.02,59.5,1015.39,active
2025-08-07,18.35,0.0,51.6,1015.87,active
2025-08-08,17.79,2.0,61.0,1016.08,active
2025-08-09,16.34,0.13,40.2,1017.57,active
2025-08-10,15.5,0.81,45.1,1011.84,active
2025-08-11,15.68,0.77,58.0,1012.55,active
2025-08-12,14.85,0.0,59.5,1013.14,active
2025-08-13,14.83,0.72,74.8,1015.82,active
2025-08-14,13.36,0.0,55.4,1014.12,active
2025-08-15,15.03,0.0,48.4,1011.87,active
2025-08-16,13.46,0.0,47.3,1013.4,active
2025-08-17,13.78,0.15,50.8,1012.94,active
2025-08-18,13.72,0.13,59.7,1012.56,active
2025-08-19,13.35,6.8,60.1,1011.75,active
2025-08-20,14.6,1.31,62.4,1011.27,active
2025-08-21,11.98,0.17,45.6,1015.06,active
2025-08-22,13.76,0.0,45.9,1013.69,active
2025-08-23,11.18,1.61,81.7,1014.74,active
2025-08-24,10.47,0.0,47.0,1018.87,active
2025-08-25,11.99,3.59,53.7,1014.34,active
2025-08-26,12.04,0.0,50.1,1018.23,active
2025-08-27,14.42,1.61,50.6,1012.25,active
2025-08-28,10.71,0.0,50.7,1014.61,active
2025-08-29,12.64,2.05,64.7,1015.89,active
2025-08-30,10.16,1.11,48.7,1010.81,active
2025-08-31,10.35,0.61,49.1,1017.2,active
2025-09-01,10.69,0.87,57.7,1014.76,active
2025-09-02,10.07,0.54,55.8,1013.64,active
2025-09-03,8.78,0.0,51.7,1017.08,active
2025-09-04,10.53,0.0,58.2,1013.21,active
2025-09-05,9.74,0.0,49.6,1013.57,active
2025-09-06,8.73,0.14,55.2,1020.45,active
2025-09-07,10.42,0.0,40.5,1014.79,active
2025-09-08,8.37,2.31,58.0,1016.81,active
2025-09-09,8.37,0.0,50.8,1013.82,active
2025-09-10,10.79,1.23,59.4,1018.04,active
2025-09-11,9.24,3.33,58.8,1011.38,active
2025-09-12,9.23,0.19,50.5,1015.81,active
2025-09-13,9.24,0.04,48.4,1012.69,active
2025-09-14,8.37,0.0,52.3,1015.97,active
2025-09-15,7.47,0.0,47.9,1017.23,active
2025-09-16,6.78,2.94,50.5,1016.35,active
2025-09-17,8.72,7.84,49.8,1010.31,active
2025-09-18,9.17,3.14,65.5,1015.88,active
2025-09-19,9.68,0.0,61.2,1017.7,active
2025-09-20,8.52,0.0,39.4,1012.93,active
2025-09-21,6.73,0.0,56.5,1010.48,active
2025-09-22,7.28,0.0,46.0,1012.8,active
2025-09-23,7.43,0.0,57.9,1018.24,active
2025-09-24,5.99,1.38,69.1,1016.69,active
2025-09-25,8.75,0.0,53.6,1012.29,active
2025-09-26,7.34,0.0,63.0,1017.99,active
2025-09-27,6.53,0.92,56.0,1017.87,active
2025-09-28,6.92,0.0,53.2,1017.91,active
2025-09-29,8.29,2.87,43.1,1016.88,active
2025-09-30,6.18,2.71,57.3,1010.27,active
2025-10-01,4.8,0.55,52.6,1008.38,active
2025-10-02,7.9,3.61,70.1,1007.54,active
2025-10-03,6.77,0.35,67.9,1012.5,active
2025-10-04,6.8,0.0,58.2,1014.37,active
2025-10-05,7.27,2.65,56.8,1012.12,active
2025-10-06,8.21,0.19,47.2,1013.68,active
2025-10-07,5.66,0.0,54.7,1016.21,active
2025-10-08,7.23,1.78,54.4,1015.09,active
2025-10-09,6.4,0.0,63.6,1012.03,active
2025-10-10,8.07,0.0,65.5,1014.76,active
2025-10-11,6.65,2.41,48.8,1015.3,active
2025-10-12,4.22,0.0,52.6,1014.46,active
2025-10-13,3.44,0.0,63.0,1015.79,active
2025-10-14,4.45,0.35,52.8,1012.79,active
2025-10-15,7.03,36.36,64.1,1003.25,active
2025-10-16,4.36,0.0,54.4,1015.72,active
2025-10-17,3.81,7.6,57.7,1011.65,active
2025-10-18,9.1,0.0,63.8,1015.24,active
2025-10-19,2.19,0.0,60.7,1012.87,active
2025-10-20,4.65,0.78,48.1,1015.45,active
2025-10-21,6.73,0.97,57.1,1014.16,active
2025-10-22,4.64,0.61,47.6,1014.18,active
2025-10-23,6.39,0.0,55.9,1014.12,active
2025-10-24,5.49,1.09,56.7,1017.96,active
2025-10-25,5.78,0.0,56.6,1013.75,active
2025-10-26,4.6,1.13,68.2,1010.94,active
2025-10-27,4.06,0.0,52.4,1012.81,active
2025-10-28,7.77,0.73,61.8,1007.58,active
2025-10-29,5.11,3.44,54.0,1015.68,active
2025-10-30,3.54,0.0,63.2,1013.05,active
2025-10-31,6.73,4.55,66.5,1012.43,active
2025-11-01,4.94,0.91,60.3,1013.64,active
2025-11-02,6.66,1.6,56.8,1009.95,active
2025-11-03,2.44,0.0,56.8,1015.79,active
2025-11-04,7.37,1.54,49.5,1013.51,active
2025-11-05,3.38,0.0,54.3,1016.33,active
2025-11-06,4.17,0.34,58.5,1015.75,active
2025-11-07,3.64,0.0,51.5,1010.84,active
2025-11-08,6.27,1.73,55.4,1018.53,active
2025-11-09,3.81,0.0,48.7,1008.73,active
2025-11-10,4.86,0.53,68.6,1015.21,active
2025-11-11,3.64,0.0,44.6,1014.74,active
2025-11-12,6.5,0.17,47.4,1011.87,active
2025-11-13,3.23,4.15,58.3,1014.02,active
2025-11-14,4.29,0.0,42.3,1013.55,active
2025-11-15,3.66,0.0,59.1,1016.07,active
2025-11-16,4.52,5.05,65.5,1009.53,active
2025-11-17,3.45,0.0,61.1,1010.27,active
2025-11-18,5.4,0.22,58.5,1019.19,active
2025-11-19,4.17,4.29,57.9,1018.65,active
2025-11-20,5.1,4.0,55.2,1013.75,active
2025-11-21,4.66,0.0,68.3,1012.27,active
2025-11-22,6.27,0.22,62.2,1015.23,active
2025-11-23,3.41,3.14,67.0,1013.42,active
2025-11-24,4.22,0.0,53.4,1013.42,active
2025-11-25,5.07,2.15,45.7,1013.57,active
2025-11-26,3.46,0.0,58.0,1015.46,active
2025-11-27,3.35,0.0,52.6,1017.08,active
2025-11-28,5.41,0.0,52.8,1015.05,active
2025-11-29,7.26,0.36,44.4,1013.36,active
2025-11-30,4.96,0.13,48.4,1015.35,active
2025-12-01,5.33,0.0,57.5,1013.0,active
2025-12-02,4.09,0.0,57.1,1012.2,active
2025-12-03,5.48,0.0,42.3,1020.79,active
2025-12-04,3.84,1.29,51.1,1013.05,active
2025-12-05,5.03,0.0,48.6,1011.72,active
2025-12-06,3.73,5.62,47.7,1013.54,active
2025-12-07,4.09,0.0,65.4,1013.06,active
2025-12-08,3.91,41.3,87.8,1001.74,active
2025-12-09,1.89,1.43,55.2,1014.36,active
2025-12-10,3.5,0.4,65.6,1016.33,active
2025-12-11,3.55,0.97,63.6,1014.09,active
2025-12-12,1.51,0.2,47.1,1012.53,active
2025-12-13,3.04,0.6,63.0,1013.76,active
2025-12-14,4.88,0.0,50.4,1014.82,active
2025-12-15,3.4,0.95,56.7,1012.57,active
2025-12-16,6.77,4.93,56.1,1011.61,active
2025-12-17,4.73,0.0,59.3,1016.09,active
2025-12-18,4.5,0.0,53.4,1014.58,active
2025-12-19,5.26,0.0,63.9,1015.51,active
2025-12-20,6.69,1.59,52.4,1016.41,active
2025-12-21,5.74,1.15,49.2,1011.5,active
2025-12-22,3.77,4.19,61.8,1009.43,active
2025-12-23,4.44,0.0,53.1,1013.28,active
2025-12-24,3.5,0.0,58.9,1017.54,active
2025-12-25,1.71,0.41,31.5,1015.44,active
2025-12-26,5.69,0.0,58.8,1014.47,active
2025-12-27,6.3,0.11,53.2,1010.25,active
2025-12-28,6.09,1.23,54.4,1017.1,active
2025-12-29,3.05,2.21,59.4,1014.52,active
2025-12-30,5.36,1.82,57.0,1013.17,active
2025-12-31,1.52,1.19,49.6,1016.55,active
